key,layer,cwe,label,flow_level,outcome,tool
real/is-my-json-valid_2.20.0_is-my-json-valid/vulnerable/index.js,rzeczywista,CWE-094,is-my-json-valid (vulnerable),,FN,CodeQL
real/is-my-json-valid_2.20.0_is-my-json-valid/fixed/index.js,rzeczywista,CWE-094,is-my-json-valid (fixed),,TN,CodeQL
real/js-yaml_3.13.0_js-yaml/vulnerable/lib/js-yaml/type/js/function.js,rzeczywista,CWE-094,js-yaml (vulnerable),,FN,CodeQL
real/js-yaml_3.13.0_js-yaml/fixed/lib/js-yaml/type/js/function.js,rzeczywista,CWE-094,js-yaml (fixed),,TN,CodeQL
real/public_0.1.2_public/vulnerable/bin/public,rzeczywista,CWE-022,public (vulnerable),,FN,CodeQL
real/public_0.1.2_public/fixed/bin/public,rzeczywista,CWE-022,public (fixed),,TN,CodeQL
real/CVE-2014-9682_dns-sync/vulnerable/lib/dns-sync.js,rzeczywista,CWE-078,dns-sync (vulnerable),,FN,SonarQube Cloud
real/CVE-2014-9682_dns-sync/fixed/lib/dns-sync.js,rzeczywista,CWE-078,dns-sync (fixed),,TN,SonarQube Cloud
real/CVE-2017-16083_node-simple-router/vulnerable/lib/router.js,rzeczywista,CWE-022,node-simple-router (vulnerable),,FN,SonarQube Cloud
real/CVE-2017-16083_node-simple-router/fixed/lib/router.js,rzeczywista,CWE-022,node-simple-router (fixed),,TN,SonarQube Cloud
real/CVE-2017-16117_slug/vulnerable/slug.js,rzeczywista,CWE-1333,slug (vulnerable),,FN,SonarQube Cloud
real/CVE-2017-16117_slug/fixed/slug.js,rzeczywista,CWE-1333,slug (fixed),,TN,SonarQube Cloud
real/CVE-2017-16118_forwarded/vulnerable/index.js,rzeczywista,CWE-1333,forwarded (vulnerable),,FN,SonarQube Cloud
real/CVE-2017-16118_forwarded/fixed/index.js,rzeczywista,CWE-1333,forwarded (fixed),,TN,SonarQube Cloud
real/CVE-2017-16119_fresh/vulnerable/index.js,rzeczywista,CWE-1333,fresh (vulnerable),,FN,SonarQube Cloud
real/CVE-2017-16119_fresh/fixed/index.js,rzeczywista,CWE-1333,fresh (fixed),,TN,SonarQube Cloud
real/CVE-2017-18077_brace-expansion/vulnerable/index.js,rzeczywista,CWE-1333,brace-expansion (vulnerable),,TP,SonarQube Cloud
real/CVE-2017-18077_brace-expansion/fixed/index.js,rzeczywista,CWE-1333,brace-expansion (fixed),,TN,SonarQube Cloud
real/CVE-2018-13797_macaddress/vulnerable/lib/unix.js,rzeczywista,CWE-078,macaddress (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-13797_macaddress/fixed/lib/unix.js,rzeczywista,CWE-078,macaddress (fixed),,FP,SonarQube Cloud
real/CVE-2018-16461_libnmap/vulnerable/lib/classes/tools.js,rzeczywista,CWE-078,libnmap (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-16461_libnmap/fixed/lib/classes/tools.js,rzeczywista,CWE-078,libnmap (fixed),,TN,SonarQube Cloud
real/CVE-2018-16462_apex-publish-static-files/vulnerable/index.js,rzeczywista,CWE-078,apex-publish-static-files (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-16462_apex-publish-static-files/fixed/index.js,rzeczywista,CWE-078,apex-publish-static-files (fixed),,TN,SonarQube Cloud
real/CVE-2018-16472_cached-path-relative/vulnerable/lib/index.js,rzeczywista,CWE-1321,cached-path-relative (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-16472_cached-path-relative/fixed/lib/index.js,rzeczywista,CWE-1321,cached-path-relative (fixed),,TN,SonarQube Cloud
real/CVE-2018-16485_m-server/vulnerable/lib/index.js,rzeczywista,CWE-022,m-server (vulnerable),,TP,SonarQube Cloud
real/CVE-2018-16485_m-server/fixed/lib/index.js,rzeczywista,CWE-022,m-server (fixed),,TN,SonarQube Cloud
real/CVE-2018-16487_lodash/vulnerable/lodash.js,rzeczywista,CWE-1321,lodash (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-16487_lodash/fixed/lodash.js,rzeczywista,CWE-1321,lodash (fixed),,TN,SonarQube Cloud
real/CVE-2018-3715_glance/vulnerable/index.js,rzeczywista,CWE-022,glance (vulnerable),,TP,SonarQube Cloud
real/CVE-2018-3715_glance/fixed/index.js,rzeczywista,CWE-022,glance (fixed),,TN,SonarQube Cloud
real/CVE-2018-3719_mixin-deep/vulnerable/index.js,rzeczywista,CWE-1321,mixin-deep (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-3719_mixin-deep/fixed/index.js,rzeczywista,CWE-1321,mixin-deep (fixed),,TN,SonarQube Cloud
real/CVE-2018-3723_defaults-deep/vulnerable/index.js,rzeczywista,CWE-1321,defaults-deep (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-3723_defaults-deep/fixed/index.js,rzeczywista,CWE-1321,defaults-deep (fixed),,TN,SonarQube Cloud
real/CVE-2018-3728_hoek/vulnerable/lib/index.js,rzeczywista,CWE-1321,hoek (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-3728_hoek/fixed/lib/index.js,rzeczywista,CWE-1321,hoek (fixed),,TN,SonarQube Cloud
real/CVE-2018-3772_whereis/vulnerable/index.js,rzeczywista,CWE-078,whereis (vulnerable),,FN,SonarQube Cloud
real/CVE-2018-3772_whereis/fixed/index.js,rzeczywista,CWE-078,whereis (fixed),,FP,SonarQube Cloud
real/CVE-2020-26289_date-and-time/vulnerable/date-and-time.js,rzeczywista,CWE-1333,date-and-time (vulnerable),,FN,SonarQube Cloud
real/CVE-2020-26289_date-and-time/fixed/date-and-time.js,rzeczywista,CWE-1333,date-and-time (fixed),,TN,SonarQube Cloud
real/CVE-2020-6836_hot-formula-parser/vulnerable/lib/grammar-parser/grammar-parser.js,rzeczywista,CWE-094,hot-formula-parser (vulnerable),,TP,SonarQube Cloud
real/CVE-2020-6836_hot-formula-parser/fixed/lib/grammar-parser/grammar-parser.js,rzeczywista,CWE-094,hot-formula-parser (fixed),,TN,SonarQube Cloud
real/CVE-2020-7640_pixl-class/vulnerable/class.js,rzeczywista,CWE-094,pixl-class (vulnerable),,TP,SonarQube Cloud
real/CVE-2020-7640_pixl-class/fixed/class.js,rzeczywista,CWE-094,pixl-class (fixed),,TN,SonarQube Cloud
real/CVE-2020-7677_thenify/vulnerable/index.js,rzeczywista,CWE-094,thenify (vulnerable),,TP,SonarQube Cloud
real/CVE-2020-7677_thenify/fixed/index.js,rzeczywista,CWE-094,thenify (fixed),,TN,SonarQube Cloud
real/hangersteak_0.2.2_hangersteak/vulnerable/lib/hangersteak.js,rzeczywista,CWE-022,hangersteak (vulnerable),,FN,SonarQube Cloud
real/hangersteak_0.2.2_hangersteak/fixed/lib/hangersteak.js,rzeczywista,CWE-022,hangersteak (fixed),,TN,SonarQube Cloud
real/is-my-json-valid_2.20.0_is-my-json-valid/vulnerable/index.js,rzeczywista,CWE-094,is-my-json-valid (vulnerable),,FN,SonarQube Cloud
real/is-my-json-valid_2.20.0_is-my-json-valid/fixed/index.js,rzeczywista,CWE-094,is-my-json-valid (fixed),,TN,SonarQube Cloud
real/js-yaml_3.13.0_js-yaml/vulnerable/lib/js-yaml/type/js/function.js,rzeczywista,CWE-094,js-yaml (vulnerable),,TP,SonarQube Cloud
real/js-yaml_3.13.0_js-yaml/fixed/lib/js-yaml/type/js/function.js,rzeczywista,CWE-094,js-yaml (fixed),,FP,SonarQube Cloud
real/public_0.1.2_public/vulnerable/bin/public,rzeczywista,CWE-022,public (vulnerable),,FN,SonarQube Cloud
real/public_0.1.2_public/fixed/bin/public,rzeczywista,CWE-022,public (fixed),,TN,SonarQube Cloud
